Price,Close,High,Low,Open,Volume
02-03-2020,11.31091881,12.0802282,11.2277503,11.95547497,346126
03-03-2020,11.64359474,12.30894191,11.16537555,11.72676326,397380
04-03-2020,12.22577286,12.35052609,11.64359423,12.24656569,558815
05-03-2020,12.45448875,12.47528065,12.05943711,12.22577415,442815
06-03-2020,12.30894184,12.43369508,11.8307236,12.16339765,441406
09-03-2020,11.97626686,12.05943537,11.3317107,11.3317107,747339
11-03-2020,11.78913879,11.93468487,11.51884136,11.51884136,275685
12-03-2020,10.02180767,11.47725705,9.813885927,11.31091909,2714734
13-03-2020,9.813885689,9.93863892,8.129722719,8.7326951,1545181
16-03-2020,9.169329643,9.730717307,8.878239394,9.605964074,668699
17-03-2020,9.294082642,9.813885567,9.086160906,9.086160906,298198
18-03-2020,8.420812607,10.56240274,8.233682767,9.398041813,1326678
19-03-2020,8.129723549,8.400020988,7.651505293,7.901010839,563391
20-03-2020,7.984177589,8.379229175,7.713880178,8.129722712,1312209
23-03-2020,6.507937431,7.630712376,6.445561281,7.630712376,783047
24-03-2020,6.112886429,7.131701384,5.405953622,6.757442617,900300
25-03-2020,6.715857983,6.715857983,5.842588677,6.133677974,504077
26-03-2020,7.381206036,7.381206036,6.5495214,7.069324356,769163
27-03-2020,7.713881016,8.067346972,7.401999317,7.651505336,1042355
30-03-2020,8.004970551,8.088139059,7.360414377,7.651504627,333119
31-03-2020,8.23368454,8.400021582,7.776258616,8.316853061,308864
01-04-2020,8.212892532,8.275268208,7.901010382,8.150514971,233892
03-04-2020,7.984177589,8.150514603,7.817841519,7.901010025,162825
07-04-2020,8.129723549,8.212893007,7.817842324,8.02576314,267674
08-04-2020,7.797049046,8.379229562,7.73467337,8.129723088,439026
09-04-2020,7.817842007,8.046554707,7.71388066,7.921802411,298609
13-04-2020,7.443583012,7.984177852,7.443583012,7.942595011,262785
15-04-2020,7.381206036,7.505959273,7.31883036,7.485167381,331434
16-04-2020,7.401998997,7.485167509,7.110908733,7.464375145,292467
17-04-2020,7.526751995,7.693089496,7.401999223,7.401999223,649763
20-04-2020,7.651504517,7.81784153,7.505958923,7.81784153,658266
21-04-2020,7.609920502,7.693089488,7.401999215,7.693089488,277244
22-04-2020,7.48516798,7.609920756,7.422790885,7.443583721,306444
23-04-2020,7.443583012,7.485167266,7.339621668,7.339621668,293166
24-04-2020,7.090117455,7.422790567,7.090117455,7.110908876,392165
27-04-2020,6.986155987,7.235661995,6.840611326,6.840611326,389752
28-04-2020,6.986155987,7.027740243,6.715858557,7.027740243,149447
29-04-2020,7.027739525,7.173285114,6.965363854,7.027739525,424422
30-04-2020,7.006948948,7.25645449,6.986156112,7.069324626,545104
04-05-2020,6.902987003,6.96536409,6.73664999,6.819818497,231272
05-05-2020,6.778234482,6.965364336,6.736650227,6.923780081,273778
06-05-2020,6.570313931,7.006948859,6.445561161,6.799027105,209983
07-05-2020,6.40397644,6.695065743,6.3000151,6.653481018,299180
08-05-2020,6.216846943,6.61189808,6.154470795,6.61189808,533809
11-05-2020,6.237639904,6.507937336,6.133678556,6.507937336,452000
12-05-2020,6.216846943,6.403976801,6.112886539,6.403976801,252437
13-05-2020,6.237639904,6.507937336,6.196055647,6.507937336,793430
14-05-2020,6.196055412,6.362392432,5.946549411,6.362392432,230782
15-05-2020,6.216846943,6.34159971,5.967342351,6.34159971,143923
18-05-2020,6.008925438,6.341599471,5.925757872,6.341599471,260458
19-05-2020,6.092094421,6.237640029,5.946549756,6.071302528,229630
20-05-2020,6.133678436,6.300015459,5.967342356,6.300015459,158765
21-05-2020,6.237639904,6.300015582,6.154470919,6.216847069,154543
22-05-2020,6.071302414,6.237639912,5.946549644,6.237639912,183299
26-05-2020,6.029717445,6.133677839,5.967341775,6.071301697,193634
27-05-2020,6.092094421,6.175262936,6.050510164,6.175262936,164204
28-05-2020,6.216846943,6.258431199,5.988133772,6.112886539,233221
29-05-2020,6.237639904,6.258431325,6.133678556,6.237639904,211207
01-06-2020,6.237639904,6.487145444,6.154470919,6.258431325,1169724
02-06-2020,6.237639904,6.362392674,6.133678556,6.362392674,663082
03-06-2020,6.46635294,6.549521451,6.175262678,6.32080828,3453452
04-06-2020,6.778234482,6.778234482,6.34159957,6.591105571,1542588
05-06-2020,7.443583012,7.443583012,7.131701337,7.152492757,1397386
08-06-2020,8.129723549,8.171308278,7.713880972,7.817842324,1926277
09-06-2020,8.940617561,8.940617561,8.27526851,8.400020809,2143575
10-06-2020,9.377251625,9.377251625,9.252498389,9.314874064,292217
11-06-2020,9.834677696,9.834677696,8.919823256,9.834677696,2287431
12-06-2020,10.1049757,10.2921046,9.356458214,9.439626719,1384081
15-06-2020,9.980223656,10.39606717,9.751510947,10.39606717,1236353
16-06-2020,9.980223656,10.35448244,9.481212567,10.16735258,1267463
17-06-2020,9.709925652,9.938639289,9.647549033,9.938639289,428130
18-06-2020,9.834677696,9.980221864,9.564379365,9.709924475,549395
19-06-2020,9.980223656,10.1049769,9.647549597,10.1049769,359024
22-06-2020,10.25052166,10.47923627,10.08418462,10.43765154,674585
23-06-2020,10.02180767,10.2713132,9.980222945,10.2713132,418382
24-06-2020,9.980223656,10.18814541,9.855470412,9.876263248,661456
25-06-2020,9.730717659,10.0633917,9.647549148,9.980223192,131593
26-06-2020,9.564379692,9.917846535,9.522794969,9.668341027,400428
29-06-2020,9.294082642,9.605963831,9.210914136,9.605963831,323556
30-06-2020,9.41883564,9.751510631,9.294083343,9.294083343,301183
01-07-2020,9.543587685,9.730716578,9.356457849,9.418834461,316057
02-07-2020,10.00101471,10.00101471,9.522795554,9.68913257,639568
03-07-2020,9.772301674,10.5000264,9.647549376,10.5000264,1281203
06-07-2020,9.959431648,10.14656057,9.689133271,9.793094621,273248
07-07-2020,9.75151062,10.00101521,9.585172654,10.00101521,285412
08-07-2020,9.647550583,10.00101657,9.56438206,10.00101657,366923
09-07-2020,9.626757622,9.938639785,9.564381001,9.938639785,227029
10-07-2020,9.585173607,9.730718753,9.564381712,9.626758338,225753
13-07-2020,9.564379692,9.689131975,9.522794969,9.626756305,242171
14-07-2020,9.33566761,9.522796536,9.252499094,9.356459504,737605
15-07-2020,9.190122604,9.564380424,9.148537879,9.418835297,507095
16-07-2020,9.210913658,9.335665939,9.044575713,9.190121768,177529
17-07-2020,9.377251625,9.543588645,9.127745152,9.210914605,547717
20-07-2020,9.294082642,9.605963831,9.231706027,9.481211544,342456
21-07-2020,9.169329643,9.439627058,9.148537752,9.439627058,361786
22-07-2020,9.127745628,9.273291707,8.878240085,9.190123192,383394
23-07-2020,9.127745628,9.273291707,8.982201435,9.127745628,418764
24-07-2020,9.148537636,9.190122361,8.961407788,9.148537636,498331
27-07-2020,9.106954575,9.418835793,9.002993226,9.14853836,487582
28-07-2020,9.00299263,9.19012248,8.940616956,9.148537755,208814
29-07-2020,9.023784637,9.106953138,8.795070083,9.023784637,309180
30-07-2020,8.982201576,9.106954821,8.753487923,9.023786305,411383
31-07-2020,8.899031639,9.002992031,8.836655027,8.982200141,397948
03-08-2020,8.982201576,9.314874696,8.774279816,9.314874696,289469
04-08-2020,8.899031639,9.065368644,8.774278414,8.878238806,236281
05-08-2020,9.33566761,9.33566761,8.919825028,9.044577332,548789
06-08-2020,9.793094635,9.793094635,9.418835851,9.668342335,435256
07-08-2020,11.74755478,11.74755478,9.481212146,10.16735213,3122130
10-08-2020,11.49804878,12.89112258,10.89507729,12.60003231,2491489
11-08-2020,11.76834679,12.03864421,11.39408895,11.45646463,1291146
12-08-2020,11.43567276,11.64359451,11.33171141,11.39408898,650576
13-08-2020,11.01982975,11.80993105,11.01982975,11.60200931,382723
14-08-2020,11.01982975,11.43567229,10.81190801,10.81190801,296289
17-08-2020,11.08220673,11.70597009,10.85349214,11.39408888,320554
18-08-2020,11.22775078,11.43567253,10.95745336,10.95745336,523999
19-08-2020,12.2049818,12.82874515,11.04062173,11.3940886,2915838
20-08-2020,11.97626686,12.74557626,11.83072268,11.93468402,1854335
21-08-2020,12.01785183,12.45448721,11.85151576,12.12181317,991994
24-08-2020,14.40894699,14.40894699,12.47527936,12.47527936,3334740
25-08-2020,14.76241302,15.90598028,14.36736331,15.80202082,4384676
26-08-2020,15.11588097,15.76043622,14.78320598,15.38617839,1377801
27-08-2020,14.42974091,15.73964528,14.24261104,15.40697027,1394324
28-08-2020,14.05548,14.78320465,13.95151961,14.47132347,775096
31-08-2020,12.78716087,14.42974017,12.55844817,14.42974017,1061138
01-09-2020,12.53765583,13.0990435,12.26735747,12.89112176,362637
02-09-2020,13.5148859,13.70201577,12.68320076,12.84953873,712644
03-09-2020,13.20300388,13.82676817,12.93270646,13.55646981,335244
04-09-2020,12.8703289,13.22379577,12.80795323,13.22379577,352052
07-09-2020,13.05745888,15.42776188,12.47527931,12.47527931,389149
08-09-2020,12.43369484,13.30696374,12.32973444,13.24458806,452454
09-09-2020,12.03864384,12.4129026,11.83072304,12.26735747,741948
10-09-2020,12.16339684,12.89112151,11.8307228,12.08022833,1295463
11-09-2020,12.1841898,12.6416171,12.03864466,12.1633979,379743
14-09-2020,12.24656487,12.47527849,12.10101975,12.18418825,602974
15-09-2020,12.10102081,12.64161661,11.99706041,12.37131918,709078
16-09-2020,11.93468475,12.45448772,11.89310003,12.45448772,440780
17-09-2020,11.85151482,12.08022749,11.64359309,11.97626616,264750
18-09-2020,11.78913879,12.05943622,11.70597028,12.01785244,173496
21-09-2020,11.14458179,11.8930993,11.06141329,11.78913796,358874
22-09-2020,11.18616676,11.60200931,10.79111611,11.14458204,294281
23-09-2020,10.87428474,11.39408864,10.81190813,11.39408864,216927
24-09-2020,11.12379074,12.01785147,10.9366609,11.39408815,1631822
25-09-2020,12.49607086,13.18221176,11.43567215,11.56042539,2163074
28-09-2020,13.22379684,13.57726374,12.4752802,12.80795427,1470906
29-09-2020,12.89112186,13.49409333,12.72478484,13.2237959,714652
30-09-2020,12.89112186,13.2237959,12.74557674,13.16141929,460051
01-10-2020,13.01587582,13.28617325,12.84953879,12.97429109,643072
05-10-2020,15.074296,15.55251517,12.66240826,12.8911219,5838500
06-10-2020,20.11553383,20.11553383,18.23742543,19.17647869,578056
07-10-2020,21.10401344,21.10401344,21.10401344,21.10401344,19481
08-10-2020,22.14191628,22.14191628,21.10401469,22.14191628,487332
09-10-2020,21.05458832,21.79594709,21.05458832,21.79594709,298170
12-10-2020,20.0166893,20.75804816,20.0166893,20.26380892,49231
13-10-2020,19.02820778,19.67071831,19.02820778,19.02820778,162015
14-10-2020,18.23742485,18.97878355,18.0891516,18.78108715,176177
15-10-2020,19.12705612,19.12705612,18.237426,18.237426,61651
16-10-2020,18.78108978,20.06611096,18.68224156,20.06611096,150710
19-10-2020,18.87993813,19.52244872,18.33627387,18.78108991,81725
20-10-2020,19.27532578,20.95573955,18.92935801,19.72014174,400230
21-10-2020,19.47302437,19.72014396,18.78108876,19.32475111,259957
22-10-2020,19.02820778,19.76956652,18.7810882,19.52244694,197260
23-10-2020,19.02820778,19.47302378,18.92935957,19.27532736,163672
26-10-2020,18.73166656,19.67071992,18.53397013,19.67071992,144822
27-10-2020,18.53396797,19.02820712,18.2868484,19.02820712,91230
28-10-2020,17.99030495,18.73166364,17.34779257,18.38569587,180355
29-10-2020,17.74318886,17.99030847,17.10067636,17.79261203,74141
30-10-2020,17.89146042,18.38569965,17.7926122,17.7926122,63031
02-11-2020,18.38569641,18.58339094,17.99030548,18.23742505,109513
03-11-2020,17.84203529,18.73166741,17.6937639,18.73166741,66802
04-11-2020,17.94088173,18.63281733,17.44664255,18.23742637,83966
05-11-2020,18.18800163,18.28684985,17.7431875,17.7431875,234105
06-11-2020,17.84203529,18.68224235,17.6937639,18.68224235,177683
09-11-2020,17.64434052,18.43512251,16.55701386,18.43512251,251530
10-11-2020,17.74318886,18.03973164,17.59491558,17.99030847,182620
11-11-2020,17.79261017,17.94088154,17.54549058,17.69376196,158184
12-11-2020,17.79261017,17.99030659,17.44664237,17.44664237,216366
13-11-2020,17.74318886,17.89146025,17.59491558,17.79261203,88490
14-11-2020,17.79261017,17.99030659,17.59491375,17.99030659,74140
17-11-2020,17.99030495,18.18799947,17.74318538,18.18799947,211069
18-11-2020,19.7695694,20.21438546,17.84203563,18.23742852,696039
19-11-2020,22.6855793,23.72348083,19.67071915,19.67071915,2715400
20-11-2020,21.30170631,23.5752075,21.05458674,23.13039152,866617
23-11-2020,25.45331955,25.55216777,22.73500387,23.13039486,4611383
24-11-2020,26.59006882,27.47969901,25.65101546,26.93603664,2335680
25-11-2020,25.94755554,27.67739258,25.0085004,27.13373026,837700
26-11-2020,25.99698257,26.88661469,25.20620057,26.88661469,415690
27-11-2020,26.0958271,26.68891447,25.79928436,26.49121805,363183
01-12-2020,26.0958271,26.78776268,25.60158795,26.78776268,438701
02-12-2020,26.04640388,26.49121799,25.05792557,26.49121799,452983
03-12-2020,26.63949013,27.28200063,25.74985818,26.34294552,602454
04-12-2020,26.98545837,27.97393673,26.54064424,27.13373164,933316
07-12-2020,26.83718681,27.57854558,26.7383386,27.57854558,533527
08-12-2020,25.6015892,26.98545853,24.61311084,26.8866122,871077
09-12-2020,26.2935257,27.28200409,25.74986145,25.99698105,842962
10-12-2020,25.70043945,26.5406465,25.40389668,26.29352689,416175
11-12-2020,25.55216599,26.63949256,25.20619818,25.94755695,679762
14-12-2020,25.65101433,26.09582846,25.15677515,25.79928571,464932
15-12-2020,25.35447121,25.84871042,25.20619982,25.79928725,302512
16-12-2020,26.04640388,26.39237167,25.20619694,25.50273968,1166470
17-12-2020,25.89813614,27.1337342,25.70043969,26.39237536,1841535
18-12-2020,24.66253662,26.19467737,24.46484019,26.14525421,995927
21-12-2020,24.31656837,26.04640553,23.57520959,24.71195935,2080641
22-12-2020,24.24714851,25.18926559,22.46208129,24.29673293,576182
23-12-2020,24.49507713,24.99092888,24.0488098,24.29673568,395834
24-12-2020,23.9992218,25.53636124,23.75129596,24.69341301,674570
28-12-2020,26.2305584,26.37931354,23.99922551,23.99922551,1636010
29-12-2020,27.27184486,28.16437759,26.32972583,28.11479317,2642593
30-12-2020,26.92474747,27.42059918,26.08179918,27.42059918,795226
31-12-2020,26.87516403,27.22226062,26.77599331,26.77599331,427605
01-01-2021,26.62723732,27.02391831,26.5280666,26.9743339,336364
04-01-2021,26.62723732,27.51977002,26.37931146,27.22225975,669866
05-01-2021,26.62723732,27.12308903,26.32972516,26.57765101,609495
06-01-2021,26.47848129,27.07350181,26.03221401,26.92474668,725241
07-01-2021,26.77599144,27.27184313,26.23055533,27.02391729,799754
08-01-2021,26.47848129,27.07350181,26.37931058,27.07350181,446624
11-01-2021,29.106493,29.106493,26.57764838,26.67681909,3782795
12-01-2021,31.28824234,31.9824355,27.66852521,28.75939936,3839954
13-01-2021,30.19737053,32.18077741,29.89985836,31.43699983,1349424
14-01-2021,33.17248154,33.17248154,29.35442283,30.49488143,1875444
15-01-2021,34.31293869,36.09800797,32.72621464,33.86667515,1805988
18-01-2021,32.72621155,34.31293544,32.62704272,34.31293544,1408156
19-01-2021,34.36252594,34.36252594,33.22206546,33.37082249,1200939
20-01-2021,36.04841614,36.04841614,34.85837512,34.95754394,1267730
21-01-2021,36.84178543,37.8334889,35.10630436,37.8334889,4897869
22-01-2021,38.67642975,38.67642975,36.04841442,36.64343869,1773725
25-01-2021,39.32104492,40.6102587,37.78390148,39.86648109,2943679
27-01-2021,37.53597641,39.96565077,37.38722315,39.32104576,1826045
28-01-2021,38.8251915,39.37062764,36.24676026,36.34593288,1216638
29-01-2021,40.65983582,40.75900463,38.92435502,38.92435502,872255
01-02-2021,39.71772003,41.84988383,38.62684782,41.45320097,1491616
02-02-2021,39.76730347,41.35403112,39.02352594,40.16398633,892194
03-02-2021,39.81689453,40.11440481,38.27975118,39.81689453,703571
04-02-2021,40.41191101,41.35402994,39.32103885,39.86647493,679516
05-02-2021,41.0069313,41.65153998,39.66813332,39.66813332,975113
08-02-2021,43.03992844,43.03992844,41.35403192,41.35403192,993904
09-02-2021,45.17209244,45.17209244,43.9324631,44.329146,621821
10-02-2021,42.99034119,47.10591184,42.94075677,46.56047572,1830241
11-02-2021,42.84159088,44.32914609,40.95735277,41.20527863,736073
12-02-2021,42.74241257,43.6845315,42.14739207,42.94075399,369546
15-02-2021,41.55237579,43.43661007,40.80859821,41.30444993,710285
16-02-2021,40.16399384,42.39532683,39.7673109,41.15569739,443860
17-02-2021,40.31274414,41.45320076,40.21357153,40.65983881,247669
18-02-2021,41.25485992,41.84988423,40.01523067,40.36232913,419045
19-02-2021,43.28785324,43.28785324,40.41191198,41.25485832,1057649
22-02-2021,45.42001724,45.42001724,44.62665524,44.92416552,274199
23-02-2021,47.6513443,47.6513443,46.61005656,47.45300288,347936
24-02-2021,48.04803467,50.03144164,45.46960333,50.03144164,1487220
25-02-2021,46.85798645,49.48600202,46.65964501,48.79180887,826022
26-02-2021,49.13890457,49.18848899,45.12250641,45.12250641,799462
01-03-2021,51.56858063,51.56858063,50.22978245,51.56858063,1558992
02-03-2021,51.12231064,53.35364334,49.83309695,51.56857793,1308860
03-03-2021,53.65115356,53.65115356,51.96526078,52.0644296,653829
04-03-2021,56.32875443,56.32875443,54.04783728,56.32875443,1080454
05-03-2021,59.10552216,59.10552216,59.10552216,59.10552216,379392
08-03-2021,58.26258087,62.03105343,57.07253591,59.50221025,3502512
09-03-2021,55.98165894,59.10552245,55.38663461,58.46091749,1616332
10-03-2021,58.51049805,58.75842389,53.55198126,56.92377419,1406501
12-03-2021,55.73373413,59.40303762,55.5849771,59.00635473,807019
15-03-2021,55.43622589,56.82460849,53.00655162,54.94037415,871347
16-03-2021,56.52709579,56.87419048,54.29576307,55.53539236,802640
17-03-2021,53.94866562,56.97336018,53.70073977,55.53538952,577646
18-03-2021,51.51899338,55.58497588,51.27106752,54.34534661,627048
19-03-2021,53.89908218,54.04783922,48.99015302,49.68434243,1168430
22-03-2021,53.65115356,55.58497599,53.50240032,54.54368816,314182
23-03-2021,56.32875443,56.32875443,54.04783728,54.04783728,479764
24-03-2021,55.43622589,58.51050516,54.54369125,58.51050516,547335
25-03-2021,53.65115356,55.43622275,52.70903834,55.43622275,666193
26-03-2021,55.03953552,55.5849716,54.29575802,54.39492684,566511
30-03-2021,55.33705521,55.53539667,54.49410873,55.33705521,252415
31-03-2021,53.89908218,55.33705297,53.75032893,55.33705297,205074
01-04-2021,55.48580933,56.57668162,54.04783855,54.94037318,1061775
05-04-2021,53.40322876,55.88248736,52.90737704,55.6345615,483435
06-04-2021,52.8577919,55.23788164,51.71733523,54.24617821,298928
07-04-2021,52.51069641,54.14700477,51.91567209,53.55198424,257282
08-04-2021,52.75862503,53.94866994,52.56028358,53.55198704,317520
09-04-2021,52.80821228,53.55198992,52.60987082,53.35364846,173504
12-04-2021,50.18019104,51.76691877,50.18019104,50.9239686,475351
13-04-2021,49.28766251,50.87438652,48.19678643,50.08102451,298366
15-04-2021,50.82479858,51.66774495,46.90756945,47.84968842,770500
16-04-2021,50.03143692,50.82479888,49.63475405,50.57687303,196624
19-04-2021,47.6513443,48.84138905,47.55217548,47.89927013,500039
20-04-2021,49.53558731,50.03143903,47.45300783,47.99844774,1116716
22-04-2021,51.07273102,51.86609307,49.58517575,50.0810275,372416
23-04-2021,49.03973389,51.0727251,48.5934666,51.0727251,223919
26-04-2021,48.6926384,50.37853504,48.59346956,49.03973688,226717
27-04-2021,50.27936554,51.12231196,48.39512748,48.8909792,304995
28-04-2021,51.12231064,52.7586228,50.77521595,51.37023649,997861
29-04-2021,50.03143692,51.96525929,49.58516964,51.66774525,260379
30-04-2021,52.36193848,52.5106955,48.34554049,49.38682829,783724
03-05-2021,51.76691818,53.55198354,50.67604217,52.26276988,427458
04-05-2021,52.65944672,53.65115007,50.03143509,52.16359504,379169
05-05-2021,55.13871002,55.28746705,52.31235672,52.56028258,1002975
06-05-2021,52.8577919,55.53539191,52.4611128,55.53539191,598855
07-05-2021,51.32065201,53.35364326,50.67604327,52.56028128,191422
10-05-2021,50.42811966,52.80820949,49.58517323,51.32065429,462710
11-05-2021,50.03143692,51.76691786,49.68433846,50.77521446,453507
12-05-2021,50.18019104,51.17189445,49.68433933,50.5272895,192447
14-05-2021,49.83309937,50.87438725,49.73393053,50.47770813,279696
17-05-2021,49.23807526,50.9735562,48.8909768,48.8909768,300381
18-05-2021,49.83309937,50.57687697,49.63475791,49.68434233,189512
19-05-2021,52.31235504,52.31235504,49.88268092,50.37853263,1199021
20-05-2021,54.8907814,54.8907814,51.12230926,52.31235409,1057823
21-05-2021,57.6179657,57.6179657,57.6179657,57.6179657,334496
24-05-2021,60.49390793,60.49390793,60.49390793,60.49390793,191575
25-05-2021,59.65096283,63.51860772,57.61796777,63.51860772,4961089
26-05-2021,59.45261765,61.88229165,59.15510739,60.04763815,2475845
27-05-2021,59.99805832,61.08893059,59.30386515,59.5022066,541687
